details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/chinese-house-raghuleela-mall-vashi-mumbai-22998,Chinese House,Chinese,--•-- MINS•₹300 FOR TWO,VASHI
https://www.swiggy.com/restaurants/the-oasis-country-inn-and-suites-by-radisson-vashi-mumbai-319771,The oasis-country inn& suites by radisson,"Fast Food, Indian, Salads, Desserts",--•-- MINS•₹500 FOR TWO,VASHI
https://www.swiggy.com/restaurants/red-chilli-restaurant-vashi-mumbai-180017,Red Chilli Restaurant,"North Indian, Mughlai",4.6•-- MINS•₹400 FOR TWO,VASHI
https://www.swiggy.com/restaurants/hotel-signature-sec-3-ghansoli-vashi-mumbai-109035,Hotel Signature,"North Indian, Chinese",3.8•-- MINS•₹800 FOR TWO,VASHI
https://www.swiggy.com/restaurants/reemas-malvani-delicacy-koparkhairne-vashi-mumbai-135322,Reema's Malvani Delicacy,"Indian, Malwani",--•-- MINS•₹350 FOR TWO,VASHI
https://www.swiggy.com/restaurants/renuka-hotel-vashi-mumbai-297659,RENUKA HOTEL,Indian,--•-- MINS•₹300 FOR TWO,VASHI
https://www.swiggy.com/restaurants/pocket-friendly-cafe-pfc-koparkhairane-vashi-mumbai-66213,Pocket Friendly Cafe (PFC),"North Indian, Kebabs, Lebanese",3.6•-- MINS•₹800 FOR TWO,VASHI
https://www.swiggy.com/restaurants/firebowl-near-raghuleela-mall-vashi-mumbai-20691,Firebowl,"North Indian, Chinese",--•-- MINS•₹400 FOR TWO,VASHI
https://www.swiggy.com/restaurants/the-food-master-vashi-mumbai-334803,The food Master,"Indian, Chinese, Tandoor, Malwani, Kebabs",--•-- MINS•₹300 FOR TWO,VASHI
https://www.swiggy.com/restaurants/bombay-burger-s-vashi-mumbai-294140,Bombay Burgers,Fast Food,--•-- MINS•₹200 FOR TWO,VASHI
https://www.swiggy.com/restaurants/falafels-inorbit-mall-vashi-mumbai-21427,Falafel's,Lebanese,3.6•-- MINS•₹600 FOR TWO,VASHI
https://www.swiggy.com/restaurants/shree-gurushyam-new-area-vashi-mumbai-43219,Shree Gurushyam,"South Indian, Chinese, Indian",4.2•-- MINS•₹400 FOR TWO,VASHI
https://www.swiggy.com/restaurants/bharat-a-one-kolkata-roll-koparkhairane-vashi-mumbai-170442,Bharat A-One Kolkata Roll,Indian,--•-- MINS•₹150 FOR TWO,VASHI
https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-sector-17-vashi-mumbai-194416,McCafe by McDonald's,"Cafe, Beverages, Desserts",--•-- MINS•₹250 FOR TWO,VASHI
https://www.swiggy.com/restaurants/grill-inn-koparkhairane-vashi-mumbai-51089,Grill Inn,"Fast Food, Pizzas, Biryani",3.7•-- MINS•₹400 FOR TWO,VASHI
https://www.swiggy.com/restaurants/nanak-kripa-vashi-mumbai-146218,Nanak kripa,"Indian, North Indian, Chinese",4.3•-- MINS•₹250 FOR TWO,VASHI
https://www.swiggy.com/restaurants/anurag-hotel-kopar-khairane-vashi-mumbai-55567,Anurag Hotel,"Indian, Chinese",3.7•-- MINS•₹350 FOR TWO,VASHI
https://www.swiggy.com/restaurants/bikaner-sweets-and-namkin-vashi-mumbai-365665,BIKANER SWEETS AND NAMKIN,"Sweets, Snacks, Chaat, Continental",3.7•-- MINS•₹300 FOR TWO,VASHI
https://www.swiggy.com/restaurants/sunlight-restaurant-vashi-mumbai-364213,Sunlight Restaurant,"Indian, Chinese, Biryani, Snacks",--•-- MINS•₹300 FOR TWO,VASHI
https://www.swiggy.com/restaurants/aagri-tadka-vashi-mumbai-353219,Aagri Tadka,"Maharashtrian, Seafood",3.9•-- MINS•₹500 FOR TWO,VASHI
