details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/machao-chinese-bhayandar-mumbai-220638,Machao Chinese,Chinese,--•-- MINS•₹400 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/smokie-pizza-bhayandar-mumbai-300118,Smokie Pizza,Pizzas,--•-- MINS•₹250 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/yaaron-ka-adda-bhayandar-mumbai-363098,YAARON KA ADDA,"Chinese, Fast Food, North Indian",--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/sweet-truth-mira-bhayandar-mumbai-209961,Sweet Truth,"Cafe, Bakery, Desserts, Beverages",4.4•-- MINS•₹500 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/firangi-bake-mira-bhayandar-mumbai-209960,Firangi Bake,"Italian, Spanish, Mexican, Continental",4.2•-- MINS•₹500 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/oshiya-maa-tiffin-services-bhayandar-mumbai-378742,Oshiya Maa Tiffin Services,"Indian, Thalis",--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/dilli-chaap-house-bhayandar-mumbai-372409,Dilli Chaap House,"Indian, Chinese",3.4•-- MINS•₹450 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/mamma-mia-bhayandar-mumbai-370103,Mamma Mia,Beverages,--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/faasos-mira-bhayandar-mumbai-209205,Faasos,"Fast Food, Combo, Snacks",4.0•-- MINS•₹500 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/the-good-bowl-mira-bhayandar-mumbai-209964,The Good Bowl,"Fast Food, North Indian",4.3•-- MINS•₹400 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/vada-pav-hub-bhayandar-mumbai-330201,Vada pav hub,"Indian, Snacks",--•-- MINS•₹150 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/hunger-king-bhayandar-mumbai-350852,HUNGER KING,"Snacks, Chinese",--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/new-food-junxion-east-bhayandar-mumbai-30662,New Food Junxion,"Fast Food, Chinese, South Indian",3.8•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/just-chill-and-pizzass-bhayandar-mumbai-33413,Just Chill and Pizzass,"Pizzas, Fast Food",--•-- MINS•₹450 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/zizo-foods-bhayandar-mumbai-366914,ZIZO FOODS,"Indian, Sweets, Desserts",--•-- MINS•₹500 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/desi-burger-bhayandar-mumbai-118553,Desi Burger,Continental,3.8•-- MINS•₹400 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/eat-and-meet-bhayandar-mumbai-196710,Eat & Meet,Italian,--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/the-burger-hub-bhayandar-mumbai-333684,THE BURGER HUB,Fast Food,--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/ranjan-restaurant-and-bar-bhayandar-mumbai-381078,Ranjan Restaurant And Bar,"Chinese, North Indian, Tandoor, Seafood, Indian",--•-- MINS•₹400 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/mahalaxmi-foods-sweets-jain-mandir-bhayandar-mumbai-170160,Mahalaxmi Foods - Sweets,Indian,--•-- MINS•₹250 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/swaad-fresh-banarasi-paan-bhayandar-mumbai-365389,Swaad Fresh Banarasi Paan,Paan,--•-- MINS•₹100 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/bingo-burger-opp-abhinav-collage-bhayander-eas-zone-1-bhayandar-mumbai-175456,Bingo Burger,"Pizzas, Fast Food",--•-- MINS•₹400 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/shree-krishna-snacks-indralok-phase-3-bhayandar-mumbai-132340,Shree Krishna Snacks,"Chinese, Italian, Fast Food",3.6•-- MINS•₹250 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-landmark-bhayander-bhayandar-mumbai-192350,McCafe by McDonald's,"Cafe, Beverages, Desserts",--•-- MINS•₹250 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/momos-tadka-bhayandar-mumbai-377262,Momos tadka,Fast Food,--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/red-chillies-house-bhayandar-mumbai-267051,RED CHILLIES HOUSE,Chinese,--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/mauli-kolhapuri-misal-dahisar-bhayandar-mumbai-382208,Mauli Kolhapuri Misal,"Snacks, Chaat, Beverages",--•-- MINS•₹110 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/monginis-bhayandar-mumbai-237748,Monginis,"Bakery, Desserts",--•-- MINS•₹700 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/celebration-bhayandar-mumbai-350866,CELEBRATION,"Fast Food, Snacks",--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/rolls-on-coals-bhayandar-mumbai-39068,Rolls on Coals,"Italian, Mexican, Fast Food",4.4•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/bakery-maiden-bhayandar-mumbai-373684,BAKERY MAIDEN,"Bakery, Desserts",--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/apsara-ice-creams-padmavati-nagar-bhayandar-mumbai-343196,Apsara Ice Creams,"Ice Cream, Desserts",4.3•-- MINS•₹150 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/shakti-dosa-bhayandar-mumbai-367068,Shakti Dosa,"Indian, South Indian",4.2•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/mandarin-oak-mira-bhayandar-mumbai-209972,Mandarin Oak,"Asian, Chinese, Thai",4.1•-- MINS•₹350 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/sai-soda-and-fastfood-beverly-park-bhayandar-mumbai-317485,Sai soda and fastfood,Chaat,--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/behrouz-biryani-mira-bhayandar-mumbai-209219,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.1•-- MINS•₹500 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/lunchbox-mira-bhayandar-mumbai-209977,LunchBox,North Indian,3.9•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/dominos-pizza-150-ft-road-bhayandar-mumbai-33488,Domino's Pizza,Pizzas,4.1•-- MINS•₹400 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/spicy-nukkad-bhayandar-mumbai-225642,Spicy nukkad,Indian,--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/jangos-pizza-bhayandar-mumbai-228870,Jango's Pizza,Pizzas,3.6•-- MINS•₹499 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/hotel-sadanand-bhayandar-mumbai-358196,Hotel Sadanand,"South Indian, North Indian, Chinese, Biryani, Punjabi, Tandoor",--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/chottus-kitchen-bhayandar-mumbai-333273,Chottu's Kitchen,Indian,--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/grab-meal-bhayandar-mumbai-382155,Grab Meal,"Street Food, North Indian, Snacks",--•-- MINS•₹300 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/shunya-the-veg-delight-bhayandar-mumbai-347948,Shunya The Veg Delight,"Chinese, North Indian, Continental",--•-- MINS•₹200 FOR TWO,BHAYANDAR
https://www.swiggy.com/restaurants/bombay-burgers-bhayandar-mumbai-337191,BOMBAY BURGERS,"Fast Food, Beverages",--•-- MINS•₹300 FOR TWO,BHAYANDAR
