details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/sangam-hotel-antop-hill-matunga-wadala-mumbai-138956,sangam hotel,"Indian, Chinese",3.8•-- MINS•₹200 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/sai-sunder-matunga-east-matunga-wadala-mumbai-64396,Sai Sunder,"South Indian, Chinese, North Indian",4.2•-- MINS•₹250 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-matunga-wadala-mumbai-375477,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,4.4•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/rusi-biryani-stall-matunga-wadala-mumbai-357921,Rusi Biryani Stall,Biryani,--•-- MINS•₹350 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/subway-king-circle-matunga-wadala-mumbai-9187,Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",4.3•-- MINS•₹350 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/itminaan-biryani-dum-pukht-sion-matunga-wadala-mumbai-313675,Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",4.0•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/london-bubble-co-matunga-matunga-east-matunga-wadala-mumbai-46605,London Bubble Co.(Matunga),"Desserts, Beverages",4.4•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/singh-grill-chaap-new-area-matunga-wadala-mumbai-207814,Singh Grill Chaap,Indian,--•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/bawarchis-home-food-matunga-wadala-mumbai-333287,Bawarchi's Home Food,"Indian, Chinese",--•-- MINS•₹350 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/dps-the-fast-food-centre-l-n-road-matunga-wadala-mumbai-55568,DP's The Fast Food Centre,"Chinese, Jain",4.2•-- MINS•₹250 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/birdys-sion-sies-matunga-wadala-mumbai-313428,Birdy's,"Cafe, Fast Food",--•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/rolls-by-feast-east-matunga-wadala-mumbai-201160,Rolls By Feast@ East,"Fast Food, Chinese",3.6•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/the-belgian-waffle-co-maheshwari-udyaan-matunga-wadala-mumbai-27089,The Belgian Waffle Co.,"Desserts, Beverages",4.4•-- MINS•₹200 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/amrut-restaurant-and-bar-matunga-wadala-mumbai-274654,AMRUT RESTAURANT & BAR,"Indian, Snacks, North Indian, Biryani",--•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/new-bismillah-restaurant-sion-bhakti-park-matunga-wadala-mumbai-198575,New Bismillah Restaurant,"Indian, Tandoor , indian",4.4•-- MINS•₹500 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/a1-chinese-family-restaurant-salt-pan-road-wadala-east-matunga-wadala-mumbai-381116,A1 Chinese Family Restaurant,"Indian, Chinese, Thai, Tandoor, Biryani",--•-- MINS•₹600 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/bakiology-matunga-wadala-mumbai-322139,BAKIOLOGY,Indian,--•-- MINS•₹200 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/mid-night-chinese-sion-koliwada-matunga-wadala-mumbai-99929,Mid Night Chinese,Chinese,4.1•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/the-bombay-container-matunga-wadala-mumbai-218841,The Bombay Container,"Chinese, North Indian, Tibetan",--•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/bombay-snax-matunga-wadala-mumbai-372519,BOMBAY SNAX,"Indian, South Indian",--•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/bengali-by-feast-east-matunga-wadala-mumbai-201169,Bengali By Feast@ East,Bengali,4.0•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/big-mommas-eatery-antop-hill-wadala-matunga-wadala-mumbai-55691,Big Mommas Eatery,Cafe,--•-- MINS•₹400 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/durga-restaurant-and-bar-matunga-east-matunga-wadala-mumbai-55576,Durga Restaurant and Bar,"North Indian, Chinese, Continental",4.3•-- MINS•₹350 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/manis-cafe-deodhar-road-matunga-wadala-mumbai-363818,Manis Cafe,"South Indian, North Indian, Biryani",4.3•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/royal-falooda-and-juice-centre-matunga-wadala-mumbai-376683,Royal Falooda and Juice Centre,"Continental, Beverages, Ice Cream",--•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/shree-siddhivinayak-bhelpuri-and-panipuri-matunga-wadala-mumbai-152481,Shree Siddhivinayak Bhelpuri & Panipuri,"Fast Food, Indian",--•-- MINS•₹200 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/oye-kiddan-matunga-wadala-mumbai-373199,Oye Kiddan,North Indian,3.7•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/mawali-bhai-dosa-kings-circle-matunga-wadala-mumbai-41013,Mawali Bhai Dosa,South Indian,4.4•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/shri-balaji-snacks-center-matunga-wadala-mumbai-376908,Shri Balaji snacks center,"Indian, Snacks",--•-- MINS•₹100 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/maharashtrian-snacks-matunga-wadala-mumbai-385186,Maharashtrian Snacks,"Maharashtrian, Snacks",--•-- MINS•₹300 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/burgers-and-mores-matunga-wadala-mumbai-352376,BURGER'S AND MORE'S,"Continental, Beverages",--•-- MINS•₹200 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/daddys-corner-matunga-wadala-mumbai-253495,Daddy's corner,Chinese,--•-- MINS•₹150 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/hariyali-sion-bhakti-park-matunga-wadala-mumbai-28277,Hariyali,"North Indian, Chinese, Seafood, Fast Food",4.4•-- MINS•₹450 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/new-punjab-restaurant-and-bar-king-circle-bhaudaji-road-matunga-wadala-mumbai-25562,New Punjab Restaurant & Bar (King circle),"Mughlai, North Indian, Chinese, Seafood",4.3•-- MINS•₹750 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/mealful-wraps-sion-matunga-wadala-mumbai-274878,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",3.9•-- MINS•₹250 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/smoodies-wadala-matunga-wadala-mumbai-197360,Smoodies ,"Beverages, Healthy Food, Juices, Snacks",--•-- MINS•₹140 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/bombay-burger-matunga-wadala-mumbai-215230,Bombay Burger,Fast Food,3.5•-- MINS•₹250 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/the-mummys-cloud-kitchen-n-block-matunga-wadala-mumbai-249447,THE MUMMYS CLOUD KITCHEN,Indian,3.9•-- MINS•₹200 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/dairy-cone-matunga-wadala-mumbai-185135,Dairy Cone,Desserts,--•-- MINS•₹250 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/leancrust-pizza-sion-matunga-wadala-mumbai-313537,LeanCrust Pizza,"Pizzas, Italian",4.1•-- MINS•₹350 FOR TWO,MATUNGA
https://www.swiggy.com/restaurants/99-pankcakes-matunga-wadala-mumbai-321831,99 Pankcakes,"Desserts, Beverages, Pizzas",4.4•-- MINS•₹300 FOR TWO,MATUNGA
