details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/santosh-snacks-nerul-mumbai-161973,Santosh Snacks,"South Indian, Snacks",4.2•-- MINS•₹200 FOR TWO,NERUL
https://www.swiggy.com/restaurants/kukies-cafe-nerul-mumbai-372087,Kukie's Cafe,"Fast Food, Pizzas, Pastas",--•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/value-burgers-nerul-mumbai-285435,Value Burgers,"Fast Food, Beverages",--•-- MINS•₹250 FOR TWO,NERUL
https://www.swiggy.com/restaurants/teafit-nerul-mumbai-354657,TEAFIT,Beverages,4.9•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/mad-over-donuts-seawoods-mall-nerul-mumbai-29825,Mad Over Donuts,Desserts,4.4•-- MINS•₹200 FOR TWO,NERUL
https://www.swiggy.com/restaurants/chetak-sweet-point-nerul-mumbai-248252,Chetak Sweet Point,Indian,4.3•-- MINS•₹100 FOR TWO,NERUL
https://www.swiggy.com/restaurants/honey-bakers-nerul-mumbai-34623,Honey Baker's,Desserts,--•-- MINS•₹250 FOR TWO,NERUL
https://www.swiggy.com/restaurants/grace-restaurant-nerul-mumbai-51087,Grace Restaurant,"Kerala, Chinese",4.1•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/cafe-crown-23-nerul-mumbai-381470,CAFE CROWN 23,Indian,--•-- MINS•₹280 FOR TWO,NERUL
https://www.swiggy.com/restaurants/itminaan-biryani-dum-pukht-nerul-mumbai-313669,Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",4.0•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/v-pizza-nerul-mumbai-363001,V PIZZA,"Fast Food, Pizzas",--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/cafe-paradise-nerul-mumbai-374150,Cafe Paradise,"Chinese, North Indian",--•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/badass-burgers-nerul-mumbai-106799,Badass Burgers,"Italian, Mexican, Continental, Oriental",--•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/malvan-rasoi-nerul-mumbai-327048,Malvan rasoi,Indian,--•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/jessar-kitchen-nerul-mumbai-366637,Jessar Kitchen,"Tandoor, Chinese, Indian, Salads",--•-- MINS•₹450 FOR TWO,NERUL
https://www.swiggy.com/restaurants/sadguru-pure-veg-resturant-nerul-mumbai-327702,SADGURU PURE VEG RESTURANT,"North Indian, Punjabi, Tandoor, South Indian, Chinese, Fast Food",--•-- MINS•₹450 FOR TWO,NERUL
https://www.swiggy.com/restaurants/veg-bites-nerul-mumbai-263078,Veg Bites,"Chinese, Combo, Desserts, North Indian",--•-- MINS•₹250 FOR TWO,NERUL
https://www.swiggy.com/restaurants/anavrin-cafe-nerul-mumbai-368273,Anavrin Cafe,"Pastas, Beverages, Mexican, Healthy Food, Desserts, Indian",--•-- MINS•₹600 FOR TWO,NERUL
https://www.swiggy.com/restaurants/sweet-bengal-seawoods-nerul-mumbai-318214,Sweet Bengal,"Sweets, Indian, Snacks, Desserts",4.3•-- MINS•₹150 FOR TWO,NERUL
https://www.swiggy.com/restaurants/wok-in-plot-60-61-sector-44-nerul-mumbai-127497,Wok In,Pan-Asian,--•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/pakka-south-indian-nerul-mumbai-371429,PAKKA SOUTH INDIAN,South Indian,4.1•-- MINS•₹100 FOR TWO,NERUL
https://www.swiggy.com/restaurants/rasoikala-nerul-mumbai-314533,RASOIKALA,North Indian,3.5•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/the-food-capital-nerul-mumbai-354666,THE FOOD CAPITAL,Indian,--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/cinnabon-and-auntie-annes-seawoods-nerul-mumbai-196965,Cinnabon & Auntie Anne's,Bakery,4.4•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/jamies-pizzeria-by-jamie-oliver-nerul-mumbai-299169,JAMIE'S PIZZERIA BY JAMIE OLIVER,"Pizzas, Italian, European, Salads",3.9•-- MINS•₹800 FOR TWO,NERUL
https://www.swiggy.com/restaurants/monginis-nerul-mumbai-127369,Monginis,"Bakery, Snacks",4.1•-- MINS•₹200 FOR TWO,NERUL
https://www.swiggy.com/restaurants/tripple-9-home-cuisine-nerul-mumbai-358353,TRIPPLE 9 HOME CUISINE,"Thalis, Indian",--•-- MINS•₹200 FOR TWO,NERUL
https://www.swiggy.com/restaurants/lados-grill-nerul-mumbai-366642,LADO'S GRILL,"Indian, Chinese, Biryani",--•-- MINS•₹450 FOR TWO,NERUL
https://www.swiggy.com/restaurants/barbeque-nation-beverly-park-above-hdfc-bank-nerul-mumbai-305820,Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.5•-- MINS•₹600 FOR TWO,NERUL
https://www.swiggy.com/restaurants/kirti-restaurant-nerul-mumbai-325893,Kirti Restaurant,"Chinese, Tandoor, North Indian",--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/ravi-chinese-nerul-mumbai-45732,Ravi Chinese,"Chinese, Indian",3.8•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/apsara-ice-creams-seawoods-grand-central-mall-nerul-mumbai-376229,Apsara Ice Creams,"Ice Cream, Desserts",4.3•-- MINS•₹150 FOR TWO,NERUL
https://www.swiggy.com/restaurants/pizza-hut-sector-1-268-nerul-mumbai-23946,Pizza Hut,"Fast Food, Pizzas",4.0•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/honey-bakers-seawoods-seawoods-nerul-mumbai-64056,Honey Bakers - Seawoods,Bakery,--•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/combo-jumbo-nerul-mumbai-244424,Combo Jumbo,"Indian, Italian, North Indian",--•-- MINS•₹600 FOR TWO,NERUL
https://www.swiggy.com/restaurants/health-juice-center-nerul-mumbai-61587,Health Juice Center,"Beverages, Fast Food",4.3•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/famous-dum-biryani-and-kabab-corner-nerul-mumbai-127244,Famous Dum Biryani & Kabab Corner,North Indian,4.0•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/akshay-lunch-home-nerul-mumbai-55581,Akshay Lunch Home,Indian,4.4•-- MINS•₹450 FOR TWO,NERUL
https://www.swiggy.com/restaurants/leancrust-pizza-nerul-mumbai-313531,LeanCrust Pizza,"Pizzas, Italian",3.5•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/ribbons-and-balloons-nerul-mumbai-314856,Ribbons & Balloons,"Bakery, Desserts, Fast Food",--•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/mealful-wraps-nerul-mumbai-274872,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",3.8•-- MINS•₹250 FOR TWO,NERUL
https://www.swiggy.com/restaurants/roadside-a-food-joint-sector-21-nerul-mumbai-28157,Roadside A Food Joint,"Italian, Chinese, Lebanese, Fast Food, Pizzas",3.9•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/desi-chulha-nerul-mumbai-376909,Desi Chulha,"Snacks, Indian, Beverages",--•-- MINS•₹100 FOR TWO,NERUL
https://www.swiggy.com/restaurants/the-belgian-waffle-co-seawood-grand-central-mall-nerul-mumbai-36345,The Belgian Waffle Co.,"Desserts, Beverages",4.1•-- MINS•₹200 FOR TWO,NERUL
https://www.swiggy.com/restaurants/victory-pizzas-nerul-mumbai-320855,VICTORY PIZZAS,"Pizzas, Fast Food, Chinese",--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/silver-kitchen-nerul-mumbai-351609,Silver Kitchen,"Biryani, Thalis, Chinese, Indian",--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/foodie-corner-nerul-mumbai-320731,FOODIE CORNER,"South Indian, Indian",--•-- MINS•₹100 FOR TWO,NERUL
https://www.swiggy.com/restaurants/burger-king-dy-patil-nerul-mumbai-42580,Burger King,"American, Fast Food",4.3•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/flavours-of-sindh-east-navi-nerul-mumbai-112537,Flavours of Sindh,Chinese,--•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/faasos-nerul-mumbai-23956,Faasos,"Fast Food, Combo, Snacks",4.1•-- MINS•₹200 FOR TWO,NERUL
https://www.swiggy.com/restaurants/behrouz-biryani-nerul-mumbai-23957,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.0•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/party-by-kilo-chinese-nerul-mumbai-375246,Party by Kilo- chinese,Chinese,--•-- MINS•₹500 FOR TWO,NERUL
https://www.swiggy.com/restaurants/new-welcome-family-restaurant-nerul-mumbai-161741,New Welcome family restaurant,Indian,4.3•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/ravis-pizza-nerul-mumbai-126144,Ravi's Pizza,Pizzas,3.7•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/oye-pizza-nerul-mumbai-183992,Oye Pizza,"Pizzas, Fast Food",--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/the-hunger-cave-nerul-mumbai-373989,The Hunger Cave,"Kebabs, Chinese, Pizzas, Pastas, Barbecue",--•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/thancos-natural-icecream-nerul-mumbai-263979,Thancos Natural Icecream,Ice Cream,4.4•-- MINS•₹150 FOR TWO,NERUL
https://www.swiggy.com/restaurants/nom-nom-nerul-mumbai-335553,Nom Nom,Asian,4.2•-- MINS•₹1800 FOR TWO,NERUL
https://www.swiggy.com/restaurants/oye-kiddan-nerul-mumbai-211309,Oye Kiddan,North Indian,3.8•-- MINS•₹250 FOR TWO,NERUL
https://www.swiggy.com/restaurants/shanghai-restaurant-nerul-mumbai-56689,Shanghai Restaurant,"Indian, Chinese",3.3•-- MINS•₹800 FOR TWO,NERUL
https://www.swiggy.com/restaurants/merwans-cake-stop-nerul-mumbai-338813,MERWANS CAKE STOP,"Bakery, Snacks",4.5•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/the-naaz-kitchen-seawoods-nerul-mumbai-32772,The Naaz Kitchen,"Biryani, Chinese, Mughlai",4.0•-- MINS•₹350 FOR TWO,NERUL
https://www.swiggy.com/restaurants/sagar-fine-dine-nerul-mumbai-119974,Sagar Fine Dine,"Indian, Chinese",3.7•-- MINS•₹400 FOR TWO,NERUL
https://www.swiggy.com/restaurants/cafe-creme-nerul-mumbai-37786,Cafe Creme,"Fast Food, Pizzas, Pastas",4.0•-- MINS•₹300 FOR TWO,NERUL
https://www.swiggy.com/restaurants/jumboking-indian-burger-nerul-mumbai-50344,Jumboking Indian Burger,"Fast Food, Indian, American, Mexican, Healthy Food, Snacks, Beverages",4.1•-- MINS•₹200 FOR TWO,NERUL
