details,title,spec,ratt,locality
https://www.swiggy.com/restaurants/mumbai-spice-kurla-mumbai-323476,Mumbai spice,"South Indian, North Indian, Snacks",--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/celebration-kurla-mumbai-223869,Celebration,Chinese,--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/baes-kitchen-kurla-mumbai-326505,Bae's Kitchen,North Indian,--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/marleshwar-chinese-corner-sion-chunabhtti-kurla-mumbai-112567,Marleshwar Chinese corner,Chinese,--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/subway-pheonix-market-city-kurla-mumbai-8655,Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",4.1•-- MINS•₹350 FOR TWO,KURLA
https://www.swiggy.com/restaurants/the-hungry-door-kurla-mumbai-264612,THE HUNGRY DOOR,"Indian, Jain",--•-- MINS•₹400 FOR TWO,KURLA
https://www.swiggy.com/restaurants/deluxe-restaurant-kurla-mumbai-19344,Deluxe Restaurant,"Mughlai, Chinese",4.0•-- MINS•₹400 FOR TWO,KURLA
https://www.swiggy.com/restaurants/pizza-hut-pheonix-market-city-kurla-mumbai-9864,Pizza Hut,"Pizzas, Fast Food",3.2•-- MINS•₹750 FOR TWO,KURLA
https://www.swiggy.com/restaurants/hashtag-99-cafeteria-kurla-mumbai-353203,Hashtag 99 Cafeteria,"Bakery, Desserts",--•-- MINS•₹500 FOR TWO,KURLA
https://www.swiggy.com/restaurants/only-grilled-kurla-mumbai-246505,Only Grilled,Indian,--•-- MINS•₹350 FOR TWO,KURLA
https://www.swiggy.com/restaurants/mumbaikars-fast-food-kurla-mumbai-351150,MUMBAIKAR'S FAST FOOD,Continental,--•-- MINS•₹200 FOR TWO,KURLA
https://www.swiggy.com/restaurants/ustads-biryani-and-kebabs-kurla-mumbai-230276,Ustad's Biryani & Kebabs,"Biryani, Mughlai, Indian, Kebabs",--•-- MINS•₹400 FOR TWO,KURLA
https://www.swiggy.com/restaurants/al-imran-kurla-mumbai-363002,AL-IMRAN,"Indian, Chinese, Grill",--•-- MINS•₹400 FOR TWO,KURLA
https://www.swiggy.com/restaurants/konkan-swad-kurla-mumbai-104017,Konkan Swad,"Konkan, Seafood",3.7•-- MINS•₹250 FOR TWO,KURLA
https://www.swiggy.com/restaurants/barbeque-nation-west-kurla-mumbai-305810,Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.4•-- MINS•₹600 FOR TWO,KURLA
https://www.swiggy.com/restaurants/ninja-wok-kurla-mumbai-323466,Ninja Wok,"Chinese, Asian",--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/jeden-the-cake-expert-scruz-bandra-east-kurla-mumbai-366098,Jeden the cake expert,"Bakery, Desserts",--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/hashtag-99-the-shawarma-specialist-new-mill-road-kurla-mumbai-229718,Hashtag 99 The Shawarma Specialist,"Fast Food, Tandoor",4.2•-- MINS•₹250 FOR TWO,KURLA
https://www.swiggy.com/restaurants/karnika-mehak-kitchen-kurla-mumbai-263999,karnika mehak kitchen,"Indian, Chinese",--•-- MINS•₹250 FOR TWO,KURLA
https://www.swiggy.com/restaurants/mumbai-sandwich-near-tilak-nagar-railway-station-kurla-mumbai-377763,MUMBAI SANDWICH,"Fast Food, Beverages",--•-- MINS•₹400 FOR TWO,KURLA
https://www.swiggy.com/restaurants/gurukrupa-snacks-kurla-mumbai-310172,"Gurukrupa	Snacks",Snacks,--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/chillis-and-more-kurla-mumbai-330436,Chillis And More,"Chinese, Juices, Beverages, Desserts, Pizzas, Pastas, Fast Food, North Indian",--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/arpita-restaurant-kurla-mumbai-293184,ARPITA  RESTAURANT,"Indian, Chinese",--•-- MINS•₹200 FOR TWO,KURLA
https://www.swiggy.com/restaurants/tibbs-frankie-phoenix-kurla-mumbai-187580,Tibb's Frankie,Fast Food,4.6•-- MINS•₹200 FOR TWO,KURLA
https://www.swiggy.com/restaurants/delhi-drum-bandra-complex-kurla-mumbai-32432,Delhi Drum,"Mughlai, Chinese",3.6•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/mahesh-lunch-home-and-bar-kurla-mumbai-117454,Mahesh Lunch Home & Bar,Indian,3.8•-- MINS•₹500 FOR TWO,KURLA
https://www.swiggy.com/restaurants/jhakas-family-restaurant-tilak-nagar-opp-terminal-kurla-mumbai-167945,Jhakas Family Restaurant,"Indian, Chinese",--•-- MINS•₹300 FOR TWO,KURLA
https://www.swiggy.com/restaurants/ubq-by-barbeque-nation-kurla-mumbai-105237,UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.6•-- MINS•₹300 FOR TWO,KURLA
