details,title,spec,ratt
https://www.swiggy.com/restaurants/mealful-wraps-blue-ridge-hinjewadi-pune-274889,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",4.1•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/sukhi-de-parathe-hinjewadi-pune-367853,Sukhi De Parathe,"Combo, Indian",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/aadd-m-aadd-b-phase-1-hinjewadi-pune-46150,AADD (M) AADD (B),"Desserts, Ice Cream",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/express-cafe-by-holiday-inn-express-rajiv-gandhi-infotech-park-hinjewadi-pune-308617,Express Cafe by Holiday Inn Express,"Indian, Chinese",--•-- MINS•₹800 FOR TWO
https://www.swiggy.com/restaurants/cafe-2020-phase-2-hinjewadi-pune-268513,Cafe 2020,"Indian, Chinese",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/ghar-ka-khana-hinjewadi-rajiv-gandhi-it-park-hinjewadi-pune-4872,Ghar Ka Khana(Hinjewadi),North Indian,4.2•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/zaika-hinjewadi-pune-245997,Zaika,Mughlai,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/grameen-kulfi-marina-rajiv-gandhi-infotech-park-hinjewadi-pune-352810,Grameen Kulfi,"Ice Cream, Desserts",4.5•-- MINS•₹120 FOR TWO
https://www.swiggy.com/restaurants/madras-circles-taste-of-south-hinjewadi-pune-355888,Madras Circles - Taste of south,"North Indian, South Indian, Chinese, Thalis",4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hashtag-enterprises-misal-darbar-hinjewadi-pune-372426,Hashtag Enterprises Misal Darbar,Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/hyderabad-house-phase-1-marunji-road-hinjewadi-pune-3414,Hyderabad House (Phase 1),"Biryani, Mughlai, North Indian, Chinese",4.1•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/star-1-cakes-hinjawadi-hinjewadi-pune-60136,Star 1 Cakes,"Bakery, Desserts",4.3•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/punjabi-treats-hinjewadi-pune-311902,Punjabi Treats,"Indian, Chinese",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/kaware-ice-cream-and-mastani-hinjewadi-pune-374052,KAWARE ICE CREAM & MASTANI,"Ice Cream, Desserts, Beverages",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/bowlsome-dk-hinjewadi-pune-231268,Bowlsome,"North Indian, South Indian, Healthy Food",4.2•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/vasudha-cafe-and-restaurant-hinjewadi-pune-322476,VASUDHA CAFE AND RESTAURANT,Fast Food,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/mcdonalds-hinjewadi-pune-23716,McDonald's,Fast Food,4.3•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/nic-natural-ice-creams-marina-rajiv-gandhi-infotech-park-hinjewadi-pune-64066,NIC Natural Ice Creams,"Ice Cream, Desserts",4.6•-- MINS•₹120 FOR TWO
https://www.swiggy.com/restaurants/parnashree-cafe-phase1-maan-road-hinjewadi-pune-61473,Parnashree Cafe,"Fast Food, Ice Cream, Combo, Pizzas, Pastas",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/preets-punjabi-swad-hinjewadi-near-it-restaurant-opposite-shell-petrol-pump-hinjewadi-pune-14682,Preets Punjabi Swad (Hinjewadi),North Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/faasos-maan-road-om-plaza-2nd-floor-hinjewadi-pune-41800,Faasos,"Fast Food, Combo, Snacks",4.3•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/the-bangs-hinjewadi-pune-153326,The Bangs,"American, Chinese",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/rushhrs-virtus-hinjewadi-pune-3430,RushHrs,Fast Food,4.0•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/vrundavans-angat-pangat-hinjawadi-hinjewadi-pune-22189,Vrundavan's Angat Pangat,"Maharashtrian, North Indian, Chinese, Fast Food",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/homely-meals-69-hinjewadi-pune-223630,Homely Meals @69,Home Food,4.1•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/rohit-wadewale-shivaji-chowk-hinjewadi-pune-74661,Rohit Wadewale,"Maharashtrian, Fast Food",4.0•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/oaramehas-cake-shop-hinjewadi-pune-171308,Oaramehas Cake Shop,"Bakery, Desserts",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/blueberry-foods-hinjewadi-pune-296477,Blueberry Foods,"Indian, Chinese",--•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/sweet-truth-maan-road-om-plaza-2nd-floor-hinjewadi-pune-41804,Sweet Truth,"Cafe, Bakery, Desserts, Beverages",4.3•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/firangi-bake-maan-road-om-plaza-2nd-floor-hinjewadi-pune-41803,Firangi Bake,"Italian, Mexican, Pastas",4.7•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/gypsy-shawarma-hinjewadi-pune-371445,Gypsy Shawarma`,Fast Food,--•-- MINS•₹160 FOR TWO
https://www.swiggy.com/restaurants/ancient-andhra-arabian-mandi-hinjewadi-pune-29936,Ancient Andhra,"Andhra, South Indian, Hyderabadi, North Indian, Chinese",3.8•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/ovenstory-pizza-maan-road-om-plaza-2nd-floor-hinjewadi-pune-41802,Ovenstory Pizza,"Pizzas, Italian",4.0•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/khadda-kombdi-hinjewadi-pune-253391,Khadda Kombdi,Maharashtrian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/homely-freshly-daily-hinjewadi-pune-316499,Homely Freshly Daily,Thalis,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/behrouz-biryani-maan-road-om-plaza-2nd-floor-hinjewadi-pune-41801,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.3•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/tarsh-kitchen-and-bar-hinjewadi-pune-203498,Tarsh Kitchen & Bar,"North Indian, Biryani, Kebabs, Asian, Chinese, Desserts",3.3•-- MINS•₹1200 FOR TWO
https://www.swiggy.com/restaurants/happy-green-hinjewadi-pune-335431,Happy Green,"Salads, Healthy Food",--•-- MINS•₹270 FOR TWO
https://www.swiggy.com/restaurants/mezza-9-rgpv-it-park-hinjewadi-pune-3422,Mezza 9,"North Indian, Chinese, Mexican, Continental, Asian, Mughlai, Italian",4.2•-- MINS•₹550 FOR TWO
https://www.swiggy.com/restaurants/dakshin-royal-hinjewadi-pune-375132,Dakshin Royal,"Indian, Chinese, Thalis, Combo",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/alleppeesa-kerala-restaurant-hinjawadi-hinjewadi-pune-94929,ALLEPPEESA_ Kerala Restaurant,"South Indian, Fast Food",4.2•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/immunity-booster-meals-by-lunchbox-maan-road-om-plaza-2nd-floor-hinjewadi-pune-263683,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/warmoven-cake-and-desserts-hinjewadi-pune-323673,WarmOven Cake & Desserts,Desserts,4.2•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/unity-the-indian-kitchen-hinjewadi-pune-352954,Unity - The Indian Kitchen,"South Indian, Indian, North Indian, Chinese, Gujarati, Combo, Biryani, Punjabi, ...",4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/slurpy-shakes-hinjewadi-pune-323672,Slurpy Shakes,"Beverages, Desserts",4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/pind-punjab-xpress-hinjewadi-pune-182074,Pind Punjab Xpress,Street Food,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/pind-punjab-hinjewadi-pune-182075,Pind Punjab.,North Indian,4.1•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/the-brooklyn-creamery-low-cal-ice-cream-marunji-hinjewadi-pune-261148,The Brooklyn Creamery - Low Cal Ice cream,"Desserts, Ice Cream",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/raja-ki-rasoi-hinjewadi-pune-253086,RAJA KI RASOI,Mughlai,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/maharaja-11-hinjewadi-pune-358810,Maharaja. 11,"Indian, Chinese, Biryani, Maharashtrian",4.2•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/rajmudra-biryani-house-hinjawadi-hinjewadi-pune-38182,Rajmudra Biryani House,"Biryani, North Indian, Maharashtrian, Chinese, Thalis",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/pind-da-swad-hinjewadi-pune-282517,Pind Da Swad,"North Indian, Punjabi, Desserts, Beverages",3.7•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/strictly-nonveg-hinjewadi-pune-353251,STRICTLY NONVEG,"Awadhi, Kebabs, Mughlai",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/paratha-bros-by-ibis-rajiv-gandhi-infotech-park-hinjewadi-pune-353373,Paratha Bros by ibis,North Indian,--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/hinjewadi-choupati-hinjewadi-pune-323429,Hinjewadi Choupati,Fast Food,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/hotel-maitri-hinjewadi-pune-366314,Hotel Maitri,"Indian, Chinese, Maharashtrian",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/express-by-abs-hinjewadi-pune-268101,EXPRESS BY AB'S,"Biryani, North Indian, Chinese, South Indian",4.0•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/kaatizone-rolls-and-wraps-hinjewadi-pune-323668,KaatiZone Rolls & Wraps,Fast Food,4.4•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/cupcake-bliss-hinjewadi-pune-323666,Cupcake Bliss,Desserts,4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/amritsari-zaika-hinjewadi-pune-367528,Amritsari Zaika,Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/indiana-burgers-hinjewadi-pune-323664,Indiana Burgers,"Fast Food, American",4.4•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/hotel-malhar-dangechowk-road-hinjewadi-pune-65297,Hotel Malhar,Maharashtrian,4.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/best-belgian-waffle-hinjewadi-pune-108437,Best Belgian Waffle,Desserts,4.3•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/oye-kiddan-oye-kiddan-hinjewadi-pune-245348,Oye Kiddan,"North Indian, Punjabi, Thalis, Combo",4.1•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/kekiz-the-cake-shop-hinjewadi-pune-159605,Kekiz The Cake Shop,Bakery,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/soy-de-asian-hinjewadi-pune-316351,Soy de Asian,"Chinese, Combo",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/pizza-hut-hinjewadi-pune-14780,Pizza Hut,"Fast Food, Pizzas",3.6•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/99-pasta-n-pizza-phase-1-hinjewadi-pune-39940,99 Pasta N Pizza,"Italian, Fast Food",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/kumaon-rassoi-hinjewadi-pune-110297,Kumaon Rassoi,North Indian,--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/tandoor-kebab-company-hinjewadi-pune-353255,TANDOOR  KEBAB COMPANY,"Lucknowi, Kebabs, Mughlai, North Indian, Punjabi",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/desi-indori-dhaba-hinjewadi-pune-356887,DESI INDORI DHABA,"Indian, Thalis, Beverages",4.3•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/fuel-kitchen-and-healthy-bar-hinjewadi-pune-371349,Fuel Kitchen and Healthy Bar,"Fast Food, Healthy Food",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/delhi-express-hinjewadi-pune-359004,DELHI EXPRESS,"Indian, Punjabi, Snacks",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/urban-meal-box-phase-1-hinjewadi-pune-145332,Urban Meal Box,"North Indian, Maharashtrian",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/upsouth-maan-road-om-plaza-2nd-floor-hinjewadi-pune-326261,Upsouth,"South Indian, Combo, Indian",3.4•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/ancient-hyderabad-arabian-mandi-hinjewadi-pune-15517,Ancient Hyderabad,"Mughlai, Hyderabadi, Biryani, North Indian, Chinese",3.8•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/hotel-vijay-hinjawadi-hinjewadi-pune-71607,Hotel Vijay,South Indian,4.3•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/koal-tales-hinjewadi-pune-300453,Koal Tales,"Indian, Chinese",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/naples-staples-hinjewadi-pune-177023,Naples Staples,Pizzas,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/mafco-chinese-center-hinjewadi-pune-139583,Mafco Chinese Center,"Chinese, Fast Food",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/sundae-everyday-ice-creams-hinjewadi-pune-323675,Sundae Everyday Ice Creams,"Ice Cream, Desserts",4.2•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/the-tiffin-box-hinjewadi-pune-360226,The Tiffin Box,"South Indian, Combo",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/jogeshwari-misal-hinjewadi-pune-368087,Jogeshwari misal,"Fast Food, South Indian, Maharashtrian",--•-- MINS•₹280 FOR TWO
https://www.swiggy.com/restaurants/the-chinese-wok-om-heights-hinjewadi-pune-5880,The Chinese Wok,Chinese,4.2•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/cafe-durga-hinjewadi-pune-349247,CAFE DURGA,"Beverages, Snacks, South Indian",3.9•-- MINS•₹400 FOR TWO
