details,title,spec,ratt
https://www.swiggy.com/restaurants/cnp-house-chicken-and-paratha-wakad-pune-234624,CnP House - Chicken and Paratha,"North Indian, Tandoor, Biryani, Kebabs, Punjabi, Beverages",3.8•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/garam-wadewale-wakad-pune-360546,GARAM WADEWALE,"Fast Food, Snacks, Beverages",3.5•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/food-china-momos-and-noodles-wakad-pune-234623,Food China -Momos and Noodles,"Chinese, Tibetan, Fast Food, Snacks, Beverages",3.7•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/pushpanjali-lunch-home-wakad-pune-291336,PUSHPANJALI LUNCH HOME,Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-rotisserie-wakad-pune-346576,The Rotisserie,"Italian, Continental",--•-- MINS•₹355 FOR TWO
https://www.swiggy.com/restaurants/shao-wakad-pune-353901,SHAO,Chinese,--•-- MINS•₹455 FOR TWO
https://www.swiggy.com/restaurants/new-supreme-pavbhaji-and-creamist-wakad-pune-241156,New Supreme Pavbhaji And Creamist,Ice Cream,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/yaron-da-adda-dil-se-punjabi-datta-mandir-road-wakad-pune-14431,Yaron Da Adda - Dil se Punjabi,"North Indian, Punjabi, Tandoor, Thalis, Healthy Food, Beverages, Combo",4.2•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/hungry-foodies-datt-mandir-road-kaspate-wasti-wakad-pune-164348,Hungry Foodies,"North Indian, Chinese",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-paratha-junction-wakad-pune-346692,The Paratha Junction,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/burger-story-bhumkar-chowk-wakad-pune-120292,Burger Story,"American, Fast Food",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/burger-forever-wakad-pune-164347,Burger forever,North Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chom-chom-by-spice-factory-wakad-pune-296102,CHOM CHOM BY SPICE FACTORY,Chinese,--•-- MINS•₹300 FOR TWO
