details,title,spec,ratt
https://www.swiggy.com/restaurants/lkd-la-kheer-deli-baner-pune-180012,LKD | La Kheer Deli,Desserts,4.5•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/desi-handi-baner-pune-20572,DESI HANDI,"North Indian, Chinese, Biryani, Snacks, Tandoor, Punjabi",3.3•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/the-quick-wok-regent-plaza-baner-pune-20692,The Quick Wok,"Chinese, Thai",4.0•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/flavours-of-andhra-baner-pune-339144,FLAVOURS OF ANDHRA,Biryani,3.5•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/godavari-ruchulu-baner-pune-339145,Godavari Ruchulu,"North Indian, Chinese, Beverages, Indian, Biryani",3.8•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/lovely-food-murkute-chowk-baner-pune-32680,Lovely Food,"North Indian, Chinese",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/hyderabad-darbar-baner-pune-339146,Hyderabad Darbar,Indian,--•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/effingut-baner-pune-22752,Effingut,"Italian, Chinese, Continental",3.9•-- MINS•₹1000 FOR TWO
https://www.swiggy.com/restaurants/world-tapari-by-chefologix-baner-pune-353567,World Tapari by chefologix,"Street Food, Desserts",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/cup-a-tea-balewadi-high-street-road-baner-pune-166075,Cup a tea,Fast Food,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/mad-over-donuts-house-no-2-baner-pune-340128,Mad Over Donuts,Desserts,4.0•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/super-burgers-baner-pune-273568,SUPER BURGERS,Fast Food,--•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/hangyo-ice-cream-baner-pune-340486,HANGYO ICE CREAM,Ice Cream,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/tatva-the-vegetarian-cuisine-baner-pune-223070,Tatva-The Vegetarian Cuisine,"North Indian, South Indian, Continental, Chinese, Desserts, Beverages",4.1•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/ovenstory-pizza-near-nagri-bank-baner-pune-20225,Ovenstory Pizza,"Pizzas, Italian",4.2•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/wadeshwar-baner-pune-22889,Wadeshwar,"South Indian, Fast Food, North Indian, Beverages",4.3•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/kgn-xprs-baner-pune-162934,Kgn xprs,North Indian,4.1•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/bhayankar-burgers-baner-pune-376435,Bhayankar Burgers,"Continental, Bengali, Indian",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/naan-factory-baner-pune-108198,Naan Factory,"North Indian, Tandoor",4.5•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/hyderabadi-biryani-express-baner-pune-355999,Hyderabadi Biryani Express,"Chinese, Biryani",3.5•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/green-salad-company-baner-pune-259155,Green Salad Company,"Healthy Food, Salads",4.4•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/kathys-burgertown-baner-pune-259152,Kathy's Burgertown,"Asian, Chinese",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/jagdamba-baner-pune-251421,JAGDAMBA,Maharashtrian,--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/the-chinese-hub-baner-pune-366649,THE CHINESE HUB,Chinese,4.1•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chinar-a-pinch-of-kashmir-and-world-near-regent-plaza-baner-pune-29154,Chinar - A pinch of kashmir and world,Kashmiri,--•-- MINS•₹1100 FOR TWO
https://www.swiggy.com/restaurants/pizza-hut-star-market-baner-pune-224399,Pizza Hut,"Pizzas, Fast Food",3.9•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/italian-bites-baner-pune-362046,ITALIAN BITES,Italian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/elephant-and-co-baner-pune-78435,Elephant & Co.,"Pizzas, Italian-American, Fast Food, Continental",3.8•-- MINS•₹1100 FOR TWO
https://www.swiggy.com/restaurants/cafe-chokolade-yashodhan-apartment-baner-pune-304052,Cafe Chokolade,"Ice Cream, Desserts",4.1•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/ching-chong-asian-baner-pune-344837,Ching Chong Asian,"Chinese, Asian, Oriental, Fast Food, Tibetan, Desserts",3.1•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/ganesh-bhel-baner-road-baner-pune-13938,Ganesh Bhel-Baner,"Fast Food, Street Food",4.2•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/hotel-ronita-paratha-pashan-baner-pune-33881,Hotel Ronita Paratha,"North Indian, Chinese",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/wack-waffle-and-brownies-balewadi-baner-pune-344832,Wack Waffle & Brownies,"Desserts, Beverages, Fast Food",3.7•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/mealful-wraps-shroff-suyash-mall-baner-pune-274888,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",4.0•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/khichdi-paradise-balewadi-baner-pune-344833,Khichdi Paradise,"Home Food, Healthy Food, Indian, North Indian, Beverages",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-calicut-biryani-baner-pune-281052,The Calicut Biryani,Kerala,3.8•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/kamal-ke-combo-baner-pune-340479,KAMAL KE COMBO,North Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/wrapp-it-baner-pune-340477,Wrapp It,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/wrap-n-roll-baner-pune-304179,Wrap-N-Roll,"Desserts, Fast Food",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/aromas-hyderabad-house-balewadi-skp-campus-baner-pune-64174,Aroma's Hyderabad House,"Biryani, Mughlai, North Indian, Chinese",4.1•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/mcdonalds-balewadi-baner-pune-23706,McDonald's,Fast Food,4.3•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/kfc-opp-hdfc-bank-baner-pune-16058,KFC,"American, Fast Food, Snacks",4.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/chicken-xperience-by-venkys-baner-pune-42584,Chicken Xperience by Venky's,"Fast Food, American, North Indian, Tandoor, Kebabs, Barbecue",3.8•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/wow-chow-cummins-india-office-campus-baner-pune-379731,Wow Chow,"Chinese, Asian",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/philly-fried-chicken-baner-pune-259124,Philly Fried Chicken,"American, Continental",4.4•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/immunity-booster-meals-by-lunchbox-house-no-2-baner-pune-263627,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",4.0•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/chinese-karkhana-baner-pune-167188,Chinese Karkhana,"Chinese, Combo, Asian, Beverages, Street Food",3.7•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/biryani-hazir-ho-balewadi-baner-pune-344829,Biryani Hazir Ho,"Biryani, Mughlai, North Indian, Desserts, Beverages",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/starboy-pizza-and-shakes-balewadi-baner-pune-344827,Starboy Pizza & Shakes,"Pizzas, American, Fast Food, Desserts, Beverages",4.4•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/pie-pan-india-eatery-baner-pune-119181,PIE - Pan India Eatery,"North Indian, Chinese",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/mh-12-pavbhaji-baner-pune-365324,MH 12 PavBhaji,"Fast Food, Street Food, Snacks, Beverages, Indian",3.9•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/jashn-e-punjab-baner-pune-88494,Jashn E Punjab,"Chinese, North Indian",3.8•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/gratis-fine-dine-bar-baner-pune-380838,Gratis Fine-Dine Bar,North Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chulbul-dhaba-baner-pune-88493,Chulbul Dhaba,"Chinese, North Indian",3.9•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/we-idliwale-laxman-nagar-baner-pune-180125,We Idliwale,"South Indian, Biryani",4.3•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/oye-kiddan-oye-kiddan-baner-pune-44633,Oye Kiddan,"North Indian, Punjabi, Thalis, Combo",4.2•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/maratha-samrat-veritas-it-park-baner-pune-18127,Maratha Samrat,"Maharashtrian, Biryani",4.3•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/the-momo-basket-kharadi-baner-pune-372098,The Momo Basket,"Chinese, Fast Food, Tibetan",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/copper-chocs-baner-pune-161983,Copper Chocs,"Desserts, Bakery",4.8•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/signature-meals-and-bowls-baner-pune-260341,Signature Meals and Bowls,"North Indian, Combo, Biryani, Beverages",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/aadhi-jevan-baner-pune-237123,AADHI JEVAN,Indian,3.9•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/house-of-hyderabad-baner-pune-249448,House of Hyderabad,"Biryani, Chinese, Kebabs, North Indian, Mughlai",4.0•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/morning-delight-baner-pune-352269,Morning Delight,South Indian,4.6•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/sujata-mastani-baner-pune-22502,Sujata Mastani,Ice Cream,4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/meherz-shahi-biryani-baner-pune-299742,MEHERZ SHAHI BIRYANI,"Biryani, Indian",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/jennys-brownies-balewadi-baner-pune-344814,Jenny's Brownies,"Desserts, Beverages",4.6•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/mba-in-khichdi-balewadi-baner-pune-344815,MBA in Khichdi,"Home Food, Healthy Food, Indian, North Indian",--•-- MINS•₹300 FOR TWO
