details,title,spec,ratt
https://www.swiggy.com/restaurants/lotus-court-pimpri-bhosari-road-pcmc-pune-11180,Lotus Court,"North Indian, Chinese, Continental",4.6•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/foodland-near-dy-patil-college-pcmc-pune-22878,Foodland,"North Indian, Salads",4.0•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/mauli-rasvanti-pcmc-pune-372885,Mauli Rasvanti,Juices,--•-- MINS•₹80 FOR TWO
https://www.swiggy.com/restaurants/madina-caterers-pcmc-pune-189868,Madina Caterers,"Biryani, North Indian, Mughlai",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/madhavas-chinchwad-pcmc-pune-61683,Madhava's,"Fast Food, Desserts",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/malvan-samudra-near-kamini-hotel-pcmc-pune-23168,Malvan samudra,"Seafood, Malwani, North Indian",3.7•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/rolls-mania-pcmc-pune-59366,Rolls Mania,Fast Food,4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/vaishnu-hotel-pcmc-pune-119878,Vaishnu Hotel,"Chinese, North Indian",4.1•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/lets-order-chinese-sant-gardens-building-pcmc-pune-245896,Let's Order Chinese,Chinese,--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/shree-ganesh-pure-veg-pimpri-pcmc-pune-56891,Shree Ganesh Pure Veg,"North Indian, Chinese, South Indian, Fast Food",4.3•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/krishnankita-caterers-pcmc-pune-296686,KRISHNANKITA CATERERS,Indian,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/empire-garden-opposite-anna-saheb-magar-stadium-pcmc-pune-22753,Empire Garden,"North Indian, Chinese",4.3•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/cafe-18-pcmc-pune-138719,Cafe 18,Fast Food,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/lai-bhari-laturkar-pimpri-pcmc-pune-22190,Lai Bhari Laturkar,"Maharashtrian, North Indian, Chinese",4.0•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/the-momo-panda-pcmc-pune-346909,THE MOMO PANDA,Indian,4.5•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/mealful-wraps-chinchwad-pcmc-pune-274890,MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",4.1•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/leancrust-pizza-chinchwad-pcmc-pune-313549,LeanCrust Pizza,"Pizzas, Italian, Healthy Food",3.8•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/the-cakery-pcmc-pune-326073,THE CAKERY,Bakery,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/gs-biryani-chinchwad-pcmc-pune-23164,GS Biryani,"Biryani, North Indian, Chinese, Seafood",3.6•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/gharonda-veg-restaurant-pimpri-pcmc-pune-50798,Gharonda Veg Restaurant,"North Indian, South Indian, Chinese",4.0•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/platter-2-plate-morwadi-pcmc-pune-75977,Platter 2 Plate,"Fast Food, Biryani, Kebabs, Combo",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/raj-punjabi-delights-pimpri-pcmc-pune-157122,Raj Punjabi Delights,"North Indian, Chinese, Fast Food",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/chocolate-biclate-pcmc-pune-378192,Chocolate Biclate,"Desserts, Bakery",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chawadi-thergon-pcmc-pune-68643, Chawadi (Thergon),"North Indian, Chinese, Seafood",3.8•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/annapoorna-chinchwad-pcmc-pune-88230,Annapoorna,"Chinese, South Indian, North Indian, Continental, Desserts, Italian, Beverages",4.1•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-clover-bar-and-kitchen-pcmc-pune-111588,The Clover Bar And Kitchen,"North Indian, Italian",--•-- MINS•₹1200 FOR TWO
https://www.swiggy.com/restaurants/hotel-sai-sagar-pimpri-colony-pcmc-pune-94910,Hotel Sai Sagar,"Indian, Chinese, Punjabi",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/biryani-by-kg-pcmc-pune-355512,Biryani By KG,Biryani,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/hotel-atithi-misal-house-pcmc-pune-356962,HOTEL ATITHI MISAL HOUSE,"Snacks, Indian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hotel-balaji-veg-non-veg-pcmc-pune-61457,Hotel Balaji Veg Non Veg,North Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/saffron-chinchwad-pcmc-pune-26449,Saffron,"North Indian, Chinese",3.8•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/kolhapuri-pahunchar-pcmc-pune-297781,KOLHAPURI PAHUNCHAR,"Indian, Maharashtrian, North Indian, Thalis",3.9•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/roll-over-biryani-pcmc-pune-351038,ROLL OVER BIRYANI,"Biryani, Fast Food, Beverages",4.0•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/hotel-gopala-near-sagun-chowk-pcmc-pune-52065,Hotel Gopala,"North Indian, South Indian, Chinese",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/farmers-kitchen-pcmc-pune-361994,Farmer's Kitchen,"Indian, North Indian, Chinese, Beverages, Desserts",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/5-to-5-opp-kasarwadi-restaurant-pimple-gaurav-pcmc-pune-18829,5 To 5,"North Indian, Chinese",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/cake-bites-pcmc-pune-148764,Cake Bites,"Bakery, Desserts",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/vatsalya-organica-pcmc-pune-247298,Vatsalya Organica,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/kolhapuri-zanzanit-pahunchar-chinchwad-pcmc-pune-53036,Kolhapuri Zanzanit Pahunchar,"Maharashtrian, Indian, Thalis",3.7•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/grameen-kulfi-next-to-ganpati-mandir-near-deep-automobile-pcmc-pune-352809,Grameen Kulfi,"Ice Cream, Desserts",4.5•-- MINS•₹120 FOR TWO
https://www.swiggy.com/restaurants/jumboking-chaphekar-chowk-pcmc-pune-243011,Jumboking,"Fast Food, Street Food, Beverages",4.3•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/dhaba-curry-pcmc-pune-51898,DHABA CURRY,"North Indian, Biryani, Chinese",3.5•-- MINS•₹300 FOR TWO
